State,Species
Alabama,371
Alaska,346
Arizona,542
Arkansas,301
California,731
Colorado,486
Connecticut,345
Delaware,308
District of Columbia,253
Florida,498
Georgia,365
Hawaii,188
Idaho,343
Illinois,417
Indiana,332
Iowa,309
Kansas,360
Kentucky,316
Louisiana,408
Maine,366
Maryland,405
Massachusetts,436
Michigan,401
Minnesota,376
Mississippi,349
Missouri,338
Montana,328
Nebraska,331
Nevada,350
New Hampshire,307
New Jersey,435
New Mexico,506
New York,438
North Carolina,411
North Dakota,285
Ohio,408
Oklahoma,413
Oregon,449
Pennsylvania,374
Rhode Island,350
South Carolina,341
South Dakota,364
Tennessee,354
Texas,713
Utah,376
Vermont,341
Virginia,407
Washington,441
West Virginia,276
Wisconsin,369
Wyoming,267
