State, Species
Alabama,39
Alaska,2
Arizona,2
Arkansas,28
California,48
Colorado,1
Connecticut,10
Delaware,8
District of Columbia,5
Florida,28
Georgia,50
Hawaii,0
Idaho,5
Illinois,20
Indiana,23
Iowa,4
Kansas,8
Kentucky,33
Louisiana,21
Maine,9
Maryland,16
Massachusetts,12
Michigan,12
Minnesota,7
Mississippi,24
Missouri,19
Montana,4
Nebraska,2
Nevada,1
New Hampshire,9
New Jersey,14
New Mexico,3
New York,19
North Carolina,59
North Dakota,2
Ohio,25
Oklahoma,21
Oregon,18
Pennsylvania,21
Rhode Island,7
South Carolina,33
South Dakota,2
Tennessee,58
Texas,25
Utah,1
Vermont,11
Virginia,53
Washington,15
West Virginia,33
Wisconsin,7
Wyoming,1
